Qualtrics Columns,Current?,Added in Scoring,To Add in clean,Added before end
PST_Q30,,,x,
PST_Q30CF,,,x,
PST_Q31,,,x,
PST_Q31CF,,,x,
PST_Q32,,,x,
PST_Q32CF,,,x,
PST_Q33,x,,x,
PST_Q33CF,x,,x,
PST_Q34,x,,x,
PST_Q34CF,x,,x,
PST_Q35,,,x,
PST_Q35CF,,,x,
PST_Q3CF,x,,x,
PST_Q5,,,x,
PST_Q5CF,,,x,
PST_Q6,,,x,
PST_Q6CF,,,x,
PST_Q7,,,x,
PST_Q7CF,,,x,
PST_REPEAT,,,x,
PST_ResponseId,x,,x,
PST_SC0,x,,x,
PST_SCHOOL,x,,x,
PST_SKCHNG_1,x,,x,
PST_SKCHNG_10,x,,x,
PST_SKCHNG_11,x,,x,
PST_SKCHNG_2,x,,x,
PST_SKCHNG_3,x,,x,
PST_SKCHNG_4,x,,x,
PST_SKCHNG_5,x,,x,
PST_SKCHNG_6,x,,x,
PST_SKCHNG_7,x,,x,
PST_SKCHNG_8,x,,x,
PST_SKCHNG_9,x,,x,
PST_SKEMPH_1,x,,x,
PST_SKEMPH_10,x,,x,
PST_SKEMPH_11,x,,x,
PST_SKEMPH_12,x,,x,
PST_SKEMPH_2,x,,x,
PST_SKEMPH_3,x,,x,
PST_SKEMPH_4,x,,x,
PST_SKEMPH_5,x,,x,
PST_SKEMPH_6,x,,x,
PST_SKEMPH_7,x,,x,
PST_SKEMPH_8,x,,x,
PST_SKEMPH_9,x,,x,
PST_SKHOW_1,x,,x,
PST_SKHOW_10,x,,x,
PST_SKHOW_11,x,,x,
PST_SKHOW_12,,,x,
PST_SKHOW_2,x,,x,
PST_SKHOW_3,x,,x,
PST_SKHOW_4,x,,x,
PST_SKHOW_5,x,,x,
PST_SKHOW_6,x,,x,
PST_SKHOW_7,x,,x,
PST_SKHOW_8,x,,x,
PST_SKHOW_9,x,,x,
PST_StartDate,x,,x,
PST_Status,x,,x,
PST_UserLanguage,x,,x,
PST_WHY_MAJ_1,,,,
PST_WHY_MAJ_2,,,,
PST_WHY_MAJ_3,,,,
PST_WHY_MAJ_4,,,,
PST_WHY_MAJ_5,,,,
PST_WHY_MAJ_6,,,,
PST_WHY_MAJ_7,,,,
PST_WHY_MAJ_8,,,,
PST_WHYCS_1,,,x,
PST_WHYCS_2,,,x,
PST_WHYCS_3,,,x,
PST_WHYCS_4,,,x,
PST_WHYCS_5,,,x,
PST_WHYCS_6,,,x,
PST_WHYCS_7,,,x,
PST_WHYMAJ_1,,,x,
PST_WHYMAJ_2,,,x,
PST_WHYMAJ_3,,,x,
PST_WHYMAJ_4,,,x,
PST_WHYMAJ_5,,,x,
PST_WHYMAJ_6,,,x,
PST_WHYMAJ_7,,,x,
PST_WHYMAJ_8,,,x,
PST_WHYREPEAT,,,x,
PRE_Q10_SCORE,,x,x,
PRE_Q11_SCORE,,x,x,
PRE_Q12_SCORE,,x,x,
PRE_Q13_SCORE,,x,x,
PRE_Q14_SCORE,,x,x,
PRE_Q15_SCORE,,x,x,
PRE_Q16_SCORE,,x,x,
PRE_Q19_SCORE,,x,x,
PRE_Q20_SCORE,,x,x,
PRE_Q21_SCORE,,x,x,
PRE_Q23_SCORE,,x,x,
PRE_Q26_SCORE,,x,x,
PRE_Q27_SCORE,,x,x,
PRE_Q28_SCORE,,x,x,
PRE_Q29_SCORE,,x,x,
PRE_Q30_SCORE,,x,x,
PRE_Q31_SCORE,,x,x,
PRE_Q32_SCORE,,x,x,
PRE_Q33_SCORE,,x,x,
PRE_Q34_SCORE,,x,x,
PRE_Q35_SCORE,,x,x,
PRE_Q3_SCORE,,x,x,
PRE_Q5_SCORE,,x,x,
PRE_Q6_SCORE,,x,x,
PRE_Q7_SCORE,,x,x,
PST_Q10_SCORE,,x,x,
PST_Q11_SCORE,,x,x,
PST_Q12_SCORE,,x,x,
PST_Q13_SCORE,,x,x,
PST_Q14_SCORE,,x,x,
PST_Q15_SCORE,,x,x,
PST_Q16_SCORE,,x,x,
PST_Q19_SCORE,,x,x,
PST_Q20_SCORE,,x,x,
PST_Q21_SCORE,,x,x,
PST_Q23_SCORE,,x,x,
PST_Q26_SCORE,,x,x,
PST_Q27_SCORE,,x,x,
PST_Q28_SCORE,,x,x,
PST_Q29_SCORE,,x,x,
PST_Q30_SCORE,,x,x,
PST_Q31_SCORE,,x,x,
PST_Q32_SCORE,,x,x,
PST_Q33_SCORE,,x,x,
PST_Q34_SCORE,,x,x,
PST_Q35_SCORE,,x,x,
PST_Q3_SCORE,,x,x,
PST_Q5_SCORE,,x,x,
PST_Q6_SCORE,,x,x,
PST_Q7_SCORE,,x,x,
PRE_ELEM_WHERE,,,x,
PRE_MIDDLE_WHERE,,,x,
PRE_HS_WHERE,,,x,
PRE_CRS_TYP,,,,
PRE_CRS_CRED,,,,
PRE_SCHL_TYPE,,,,
PRE_CRS_SUBJ,,,,
PST_CRS_TYP,,,,
PST_CRS_CRED,,,,
PST_SCHL_TYPE,,,,
PST_CRS_SUBJ,,,,
PRE_RACE_V2_1,,,x,
PRE_RACE_V2_2,,,x,
PRE_RACE_V2_3,,,x,
